,ID,Event_Type,Location,Country,Venue,Date,Start_Time,End_Time,Duration,Orchestra,ComposerName,ConductorName,Soloist_Rank,Soloist_Name,Soloist_Instrument
0,1,Non-Subscription,Manhattan,USA,Avery Fisher Hall,07/09/2011,19:30,23:05,215,New York Philharmonic,"Darris, Samantha","Adelson, Michael",1,"Duke, Cherry",Mezzo-Soprano
1,1,Non-Subscription,Manhattan,USA,Avery Fisher Hall,07/09/2011,19:30,23:05,215,New York Philharmonic,"Darris, Samantha","Adelson, Michael",3,"Griffey, Anthony Dean",Tenor
2,1,Non-Subscription,Manhattan,USA,Avery Fisher Hall,07/09/2011,19:30,23:05,215,New York Philharmonic,"Darris, Samantha","Adelson, Michael",2,"Young, Rebecca",Viola
3,2,Non-Subscription,Manhattan,USA,Avery Fisher Hall,08/09/2011,19:30,22:50,200,NYP Presentation,"Hanson, Graydon","Adelson, Michael",2,"Kitsopoulos, Maria",Cello
4,2,Non-Subscription,Manhattan,USA,Avery Fisher Hall,08/09/2011,19:30,22:50,200,NYP Presentation,"Hanson, Graydon","Adelson, Michael",3,"Myers, Philip",French Horn
5,2,Non-Subscription,Manhattan,USA,Avery Fisher Hall,08/09/2011,19:30,22:50,200,NYP Presentation,"Hanson, Graydon","Adelson, Michael",1,"Gosling, Stephen",Piano
6,2,Non-Subscription,Manhattan,USA,Avery Fisher Hall,08/09/2011,19:30,22:50,200,NYP Presentation,"Hanson, Graydon","Adelson, Michael",4,"Alessi, Joseph",Trombone
7,3,Insight Series,Manhattan,USA,The Stanley H. Kaplan Penthouse,09/09/2011,18:30,21:00,150,New York Philharmonic,"O'Brien, Jake","Adelson, Michael",2,"Grossman, David J.",Contrabass
8,3,Insight Series,Manhattan,USA,The Stanley H. Kaplan Penthouse,09/09/2011,18:30,21:00,150,New York Philharmonic,"O'Brien, Jake","Adelson, Michael",3,"Royal, Kate",Soprano
9,3,Insight Series,Manhattan,USA,The Stanley H. Kaplan Penthouse,09/09/2011,18:30,21:00,150,New York Philharmonic,"O'Brien, Jake","Adelson, Michael",4,"Finlayson, David",Trombone
10,3,Insight Series,Manhattan,USA,The Stanley H. Kaplan Penthouse,09/09/2011,18:30,21:00,150,New York Philharmonic,"O'Brien, Jake","Adelson, Michael",1,"Kim, Michelle",Violin
11,4,Special,Manhattan,USA,Avery Fisher Hall,10/09/2011,19:30,22:44,194,New York Philharmonic,"Choi, Elli","Adelson, Michael",1,"Ziskel, Yulia",Violin
12,4,Special,Manhattan,USA,Avery Fisher Hall,10/09/2011,19:30,22:44,194,New York Philharmonic,"Choi, Elli","Adelson, Michael",2,"Dicterow, Glenn",Violin
13,5,Parks,Manhattan,USA,Great Lawn,15/09/2011,20:00,23:47,227,New York Philharmonic,"Poniewozik, Milo","Adelson, Michael",2,"Weilerstein, Alisa",Cello
14,5,Parks,Manhattan,USA,Great Lawn,15/09/2011,20:00,23:47,227,New York Philharmonic,"Poniewozik, Milo","Adelson, Michael",3,"Griffey, Anthony Dean",Tenor
15,5,Parks,Manhattan,USA,Great Lawn,15/09/2011,20:00,23:47,227,New York Philharmonic,"Poniewozik, Milo","Adelson, Michael",4,"Baer, Alan",Tuba
16,5,Parks,Manhattan,USA,Great Lawn,15/09/2011,20:00,23:47,227,New York Philharmonic,"Poniewozik, Milo","Adelson, Michael",1,"Rinehart, Robert",Viola
17,6,Special,Manhattan,USA,Avery Fisher Hall,17/09/2011,20:00,23:22,202,New York Philharmonic,"Taslima, Farah","Adelson, Michael",1,"Moon, Eileen",Cello
18,6,Special,Manhattan,USA,Avery Fisher Hall,17/09/2011,20:00,23:22,202,New York Philharmonic,"Taslima, Farah","Adelson, Michael",4,"Zerna, Kyle",Timpani
19,6,Special,Manhattan,USA,Avery Fisher Hall,17/09/2011,20:00,23:22,202,New York Philharmonic,"Taslima, Farah","Adelson, Michael",2,"Dicterow, Glenn",Violin
20,7,Subscription Season,Manhattan,USA,Avery Fisher Hall,21/09/2011,19:30,22:28,178,New York Philharmonic,"Galesi, Julian","Adelson, Michael",2,"Weilerstein, Alisa",Cello
21,7,Subscription Season,Manhattan,USA,Avery Fisher Hall,21/09/2011,19:30,22:28,178,New York Philharmonic,"Galesi, Julian","Adelson, Michael",3,Brooklyn Youth Chorus,Children's Chorus
22,7,Subscription Season,Manhattan,USA,Avery Fisher Hall,21/09/2011,19:30,22:28,178,New York Philharmonic,"Galesi, Julian","Adelson, Michael",4,"Myers, Philip",French Horn
23,7,Subscription Season,Manhattan,USA,Avery Fisher Hall,21/09/2011,19:30,22:28,178,New York Philharmonic,"Galesi, Julian","Adelson, Michael",1,"Wiprud, Theodore",Host
24,8,Subscription Season,Manhattan,USA,Avery Fisher Hall,22/09/2011,19:30,22:21,171,New York Philharmonic,"Felsenfeld, Daniel","Adelson, Michael",2,Eletfa  Hungarian Folk Band,Ensemble
25,8,Subscription Season,Manhattan,USA,Avery Fisher Hall,22/09/2011,19:30,22:21,171,New York Philharmonic,"Felsenfeld, Daniel","Adelson, Michael",3,"Myers, Philip",French Horn
26,8,Subscription Season,Manhattan,USA,Avery Fisher Hall,22/09/2011,19:30,22:21,171,New York Philharmonic,"Felsenfeld, Daniel","Adelson, Michael",4,"Druckman, Daniel",Percussion
27,8,Subscription Season,Manhattan,USA,Avery Fisher Hall,22/09/2011,19:30,22:21,171,New York Philharmonic,"Felsenfeld, Daniel","Adelson, Michael",1,"Corigliano, John, Jr.",Speaker
28,9,Subscription Season,Manhattan,USA,Avery Fisher Hall,24/09/2011,20:00,22:32,152,New York Philharmonic,"Carrick, Richard","Adelson, Michael",1,"Haws, Barbara",Speaker
29,9,Subscription Season,Manhattan,USA,Avery Fisher Hall,24/09/2011,20:00,22:32,152,New York Philharmonic,"Carrick, Richard","Adelson, Michael",3,"Griffey, Anthony Dean",Tenor
30,9,Subscription Season,Manhattan,USA,Avery Fisher Hall,24/09/2011,20:00,22:32,152,New York Philharmonic,"Carrick, Richard","Adelson, Michael",2,"Huang, Sirena",Violin
31,10,Subscription Season,Manhattan,USA,Avery Fisher Hall,27/09/2011,19:30,22:54,204,New York Philharmonic,"Wallace, David","Adelson, Michael",3,"Langevin, Robert",Flute
32,10,Subscription Season,Manhattan,USA,Avery Fisher Hall,27/09/2011,19:30,22:54,204,New York Philharmonic,"Wallace, David","Adelson, Michael",1,"R̦schmann, Dorothea",Soprano
33,10,Subscription Season,Manhattan,USA,Avery Fisher Hall,27/09/2011,19:30,22:54,204,New York Philharmonic,"Wallace, David","Adelson, Michael",2,"Ziskel, Yulia",Violin
34,11,Runout,Katonah,USA,Caramoor Venetian Theater,23/09/2011,19:30,21:48,138,New York Philharmonic,"Ades , Thomas","Ades , Thomas",1,"DeYoung, Michelle",Mezzo-Soprano
35,11,Runout,Katonah,USA,Caramoor Venetian Theater,23/09/2011,19:30,21:48,138,New York Philharmonic,"Ades , Thomas","Ades , Thomas",3,"Wang, Liang",Oboe
36,11,Runout,Katonah,USA,Caramoor Venetian Theater,23/09/2011,19:30,21:48,138,New York Philharmonic,"Ades , Thomas","Ades , Thomas",2,"Breslaw, Irene",Viola
37,12,Subscription Season,Manhattan,USA,Avery Fisher Hall,30/09/2011,20:00,23:10,190,NY Philharmonic Ensembles,"Berlioz, Hector","Ades , Thomas",2,"Yu, Wei",Cello
38,12,Subscription Season,Manhattan,USA,Avery Fisher Hall,30/09/2011,20:00,23:10,190,NY Philharmonic Ensembles,"Berlioz, Hector","Ades , Thomas",1,New York Choral Artists,Chorus
39,12,Subscription Season,Manhattan,USA,Avery Fisher Hall,30/09/2011,20:00,23:10,190,NY Philharmonic Ensembles,"Berlioz, Hector","Ades , Thomas",3,"Williamson, Stephen",Clarinet
40,12,Subscription Season,Manhattan,USA,Avery Fisher Hall,30/09/2011,20:00,23:10,190,NY Philharmonic Ensembles,"Berlioz, Hector","Ades , Thomas",4,"Flores, Audrey",French Horn
41,13,Subscription Season,Manhattan,USA,Avery Fisher Hall,01/10/2011,20:00,23:33,213,Members of NY Philharmonic,"Beethoven, Ludwig van","Ades , Thomas",2,"Roth, Tali",Guitar
42,13,Subscription Season,Manhattan,USA,Avery Fisher Hall,01/10/2011,20:00,23:33,213,Members of NY Philharmonic,"Beethoven, Ludwig van","Ades , Thomas",1,"Bocelli, Andrea",Tenor
